e,s,g
생장,격려금,독과점
친환경,재택근무,월권
환경혁신,노동법 준수,윤리경영
자연환경,인센티브,상명하복
환경친화,처우,기업지배구조
환경정화,복지,지배권
기후,보조금,지배주
에너지원,휴가,지배자
저탄소,노동,수직
청정,지역사회,의사회
생물에너지,저소득층,조정위
리사이클링,지역민,대주주
저감,안전,지주회사
탄소저감,상생,지주사
탈수소,평등,관료주의
재생,기부,권위주의
연료전지,사회단체,독재
신재생,지구촌,지배력
태양광,나눔,창업주
태양열,사회봉사,이사회
환경문제,근로조건,기득권
대체재,근로환경,경영인
그린,공익,개편
에너지효율,공헌,위기관리
풍력,약자,리더십
바이오연료,취약계층,공정성
천연,공동체,임원진
녹색에너지,쉼터,오너
에코스틸,포용,상임위
정화,모금,구조조정
친환경기술,기금,이해관계자
생태계,작업환경,투명성
기후변화,봉사,이의제기
탄소배출,모티베이션,분권
공해,휴가제,수평경영개혁
온난화,인권보호,권한
천연가스,균형발전,감사보고
업사이클링,휴게,비윤리
재활용,포상금,부패
지속성,위로금,청렴
