articles,categories,dates,titles
"[이데일리 이성기 기자] CJ그룹은 무술년(戊戌年) 새해를 맞아 국내사업에서의 압도적인 역량을 바탕으로 해외에서 공격적인 사업 확장을 통해 성장을 가속화하겠다고 밝혔다.손경식 CJ그룹 회장은 2일 신년사를 통해 한 해 동안 수고한 임직원들을 격려한 뒤, “어려운 사업 환경 속에서도 2020년 매출 100조원을 실현하는 ‘그레이트 CJ’ 완성의 기반이 되는 한 해가 되도록 노력해달라”고 당부했다.특히 손 회장은 “‘그레이트 CJ’는 ‘월드베스트 CJ’를 달성하기 위한 과정”이라며 최종 목표를 향해 함께 전진하자고 말했다. ‘월드베스트 CJ’는 2030년까지 세 개 이상의 사업에서 세계 1등이 되고, 모든 사업에서 세계 최고가 되겠다는 CJ그룹의 비전이다.이를 위해 CJ그룹은 2018년 한 해 동안 △그룹 사업 전반의 획기적 성장 지속 △사업부문별 독보적 1등 지위 확보 △‘온리원(OnlyOne)’  ‘일류인재·일류문화’ ‘공유가치창출’(CSV)로 대표되는 ‘CJ경영철학’을 심화해 나갈 예정이다.손 회장은 또 인재제일의 정신으로 지난해 5월 발표한 조직문화혁신 시행과 같이 지속적인 제도 개선을 통해 임직원들이 일류인재로서 업무에 몰입할 수 있는 환경을 만들겠다고 약속했다.손 회장은 “처음 설탕사업을 시작할 때부터 다시다, 햇반과 문화 콘텐츠, 물류 사업에 이르기까지 불가능해 보이는 일에 대한 끈기 있는 도전으로 진화하고 발전해왔다”면서 “미래를 향해 꾸준히 전진해 세계 초일류 기업으로 발돋움하는 ‘월드베스트 CJ’의 꿈을 함께 이뤄나가자”고 말했다.다음은 신년사 전문이다.친애하는 CJ 가족 여러분,2018년 새해가 밝았습니다.새해에도 모든 임직원 여러분과 각 가정에 건강과 행복이 늘 함께 하시길 기원합니다.아울러 지난 한 해 어려운 경영환경 속에서도 세계 여러 곳에서 그룹의 발전을 위해 최선을 다해주신 임직원 여러분의 노고에 진심으로 감사의 인사를 드립니다.지난 2017년을 돌아보면 세계경제는 미국, 유럽 등 선진국과 중국, 동남아 등 신흥국이 동시에 회복세를 보이면서 우리나라의 수출도 호조를 보였으나, 수출이 반도체·석유화학 등 일부 업종에 집중되면서 산업간 격차는 더욱 확대되었습니다.한편 국내 경기는 북핵 위기에 따른 한반도 정세 불안정,사드 사태로 인한 영향 등으로 내수부진이 지속되었습니다.이러한 어려운 환경에서 우리 그룹은, 각 사업부문에서 의미 있는 성과를 거두었습니다.다시 한 번 전 세계 각국에서 각고의 노력을 기울여주신 모든 임직원 여러분께 깊은 감사의 말씀을 드립니다.각 사업별로 2017년의 성과들을 돌아보면, 제일제당은 시장 및 고객 관점에서 사업구조 재편을 시행해 시너지 창출 및 기업가치 제고를 추진하였습니다.식품은 컵반 등 HMR사업 대형화 및 미국 냉동사업 확대로 미래시장 선점을 위한 기반을 마련하였고, 바이오는 고수익·고성장 제품인 트립토판·발린으로 원가경쟁력 우위 기반 하에 시장지위를 강화하였습니다.대한통운은 신규수주 증가 및 택배 시장점유율 확대로 매출을 큰 폭으로 신장시켰으며, 인도·중동·베트남에서 성공 여력이 높은 로컬 우수 기업 인수를 통해 글로벌 사업 경쟁력을 강화하였습니다.프레시웨이는 사업구조 및 프레시원 개선 기반으로 역대 최고의 매출과 영업이익을 달성하였으며, B2B 소스 등 상품경쟁력 강화를 위한 인프라를 구축하였습니다.푸드빌은 투썸의 선전으로 시장 양강체제를 구축하였고, 뚜레쥬르는 신BI의 확산을 통해 질적 우위 기반을 확보하였습니다.올리브영 부문은 업계를 선도하며 광복본점 및 강남본점 플래그십 스토어 확대, 포맷 다각화 기반 마련 등의 더 큰 성장을 위한 노력을 지속하였습니다.오쇼핑은 적극적인 사업 개혁 추진으로 업계 수익성 1위를 달성하고, 펀샵 인수·다다스튜디오 확대 등 상품 및 플랫폼 차별화의 기반을 마련하였습니다.헬로는 400만 방송 가입자 확보를 달성하고 렌탈사업 본격 확대 등 신성장 영역을 육성하였습니다.E&M은 웰메이드 드라마 ‘도깨비’로 역대 최고 시청률을 달성하였고, 콘텐츠 연계한 음악 대형 히트상품인 ‘워너원’의 발굴 및 MAMA의 3개국 확대 개최로 사업기반을 확대하였습니다.CGV는 용산 사이트 리뉴얼을 통해 국내 1등 사이트를 달성하였으며, 러시아 시장 진출로 글로벌 확대를 더욱 가속화하였습니다.마지막으로, 그룹은 ‘생태계 조성’과 ‘공유가치 창출’을 기반으로 사업으로 사회에 공헌하는 CSV를 진정성 있게 실천하였습니다.대한통운의 ‘실버택배’는 혁신적 CSV 모델로 인정받아 포춘지 선정 ‘세상를 바꾸는 혁신기업 50’에 국내 최초로 선정되었으며, E&M은 건전한 창작 생태계 조성 및 상생을 목적으로 신인작가 지원 사업인 ‘오펜’을 시작하여 좋은 평가를 받았습니다.임직원 여러분, 올해 세계 경제는 경기회복세 지속에도 불구하고 미국의 금리인상 계획, 자국우선의 보호무역정책 강화 가능성, 중동지역의 지정학적 불확실성 등 다수의 위험요소들이 잠재되어 있습니다.국내 경제는 수출은 회복되고 있으나 반도체 업종에 편중되어 있고 사드 사태 완화에도 불구하고 최저임금 인상에 따른 기업들의 비용부담 증가, 금리인상에 따른 가계이자부담 증가 등이 내수 회복에 걸림돌로 작용할 가능성이 높습니다.특히 올해는 15세에서부터 64세에 이르는 생산인구가 감소세로 전환되는 해로, 국내 경기에 추가적인 부담이 될 가능성도 있습니다.이러한 순탄치 않은 경영 환경 하에, GCP 2020을 향한 우리의 도전의 해인 2018년을 맞이하였습니다.올해 2018년은 우리 그룹의 성장 발전을 추진함에 있어 매우 중요한 한 해 입니다.이에 올 한해 임직원 모두가 공유하고 실천해야 할 우리 CJ그룹의 경영방침을 말씀 드리고자 합니다.첫째, 그룹 사업 전반의 획기적 성장을 지속해야 합니다.GCP 2020 완성을 위한 획기적 성장을 이루기 위해서는 국내사업에서의 압도적인 역량을 바탕으로 글로벌 시장에서 공격적 사업확장을 통해 성장을 가속화 해야 하겠습니다.기존에 진출한 지역은 역량을 집중하여 성과를 창출해 나가고, 신흥국 등 신시장으로의 진출 확대를 적극적으로 추진해야 합니다.또한, 기존 사업의 경쟁력 강화 및 사업확장을 위해 계열사별로 M&A의 기회를 보다 적극적으로 찾아야 하며, 미래의 새로운 먹거리인 신성장동력을 찾는 일에도 매진해 목표 달성의 기반을 더욱 확고히 해야겠습니다.둘째, 온리원(OnlyOne)정신에 투철한 제품도입과 서비스 역량을 바탕으로 각자의 사업부문에서 독보적 1등 지위를 확보해야 합니다.글로벌 기업 간 경쟁은 해가 갈수록 치열해지고 있습니다. 이러한 경쟁에서 이기기 위해서는 단순한 1등이 아니라 경쟁자들을 압도하는 지위를 확보해야만 할 것입니다.1등의 지위에 올랐다 하더라도 절대 자만하지 말고 2등이 감히 따라올 수 없는 압도적인 일등의 지위를 만들어야 하며, 이를 위해서는 끊임없는 사업모델의 진화와 혁신이 이루어져야 합니다.셋째, ‘OnlyOne’ ‘일류인재·일류문화’와 ‘CSV’가 축을 이루는 CJ 경영철학을 더욱 심화시켜야 하겠습니다.모든 임직원이 우리의 미션인 ‘OnlyOne 제품과 서비스로 최고의 가치를 창출하여 국가 사회에 기여한다’를 마음 속에 새기고, OnlyOne·인재·상생의 핵심가치와 정직, 열정, 창의, 존중의 행동원칙을 체질화한다면 일류인재가 만들어가는 일류문화를 실현할 수 있을 것입니다.아울러, CJ그룹은 CSV 활동을 통해 생태계 조성과 공유가치 창출로 의미 있는 결과를 도출해 국가사회로부터 존경 받는 기업이 되어야 함을 기억하시고, 모든 임직원이 한마음으로 노력해 주시기 바랍니다.임직원 여러분,우리는 ‘GCP 2020’이라는 커다란 목표를 세웠습니다.하지만 이것은 우리의 최종목표가 아닙니다. 궁극적으로 ‘월드베스트 CJ’를 달성할 때까지 우리는 계속 전진해야 합니다.우리의 최종 목표는 2020년까지 GCP를 달성하여 전세계에 그룹의 기반을 만들고, 2030년까지는 그 구축된 기반에서 의미 있는 세계 1등을 달성하는 것입니다.이를 위해 CJ그룹은 끊임없이 진화하고 발전하고 도전해왔습니다.처음 설탕사업을 시작할 때부터 다시다, 햇반과 엔터테인먼트, 물류 사업에 이르기까지,CJ그룹의 역사는 불가능해 보이는 일에 대한 끈기 있는 도전의 역사였습니다.목표가 멀어 보이고 달성하기 어려울 것 같더라도 진화와 변신을 거듭하며 미래를 보고 꾸준히 전진하면 우리의 Great CJ, 월드 베스트 CJ의 꿈은 반드시 이루어질 것입니다.그룹에서도 인재제일의 정신으로 조직문화혁신의 시행과 같은 지속적인 제도의 개선을 통하여 우리 CJ가족들이 일류인재로서 몰입하여 일할 수 있는 환경을 만들어 가겠습니다.올 한 해도 변함없이 우리 CJ 그룹의 무궁한 발전을 위해 최고의 노력을 경주해 주시기 부탁 드리며, 세계 각국의 임직원과 가족 여러분께서 소망하시는 일들 모두 이루시고 가정에 건강과 행복이 가득하길 바랍니다.새해 복 많이 받으십시오.  감사합니다.이성기 (beyond@edaily.co.kr)",,,"[신년사]손경식 CJ회장, ""해외사업 공격적 확장, 성장 가속화"""
"[서울신문]청년 실업률이 치솟는 가운데 특별히 하는 일 없이 쉬는 청년이 지난해 30만명을 돌파한 것으로 나타났다.11일 통계청에 따르면 2017년 비경제활동인구 중 경제활동을 하지 않은 이유가 ‘쉬었음’으로 분류된 청년층(15∼29세)은 30만 1000명으로 2016년 27만 3000명보다 2만 8000명 늘었다. 전체 청년층에서 ‘쉬었음’으로 분류된 이들이 차지하는 비율도 2016년 2.9％에서 지난해 3.2％로 0.3％ 포인트 상승했다.비경제활동인구는 일할 능력이 없거나 능력은 있지만 일할 의사가 없는 이들이다. 이 중 ‘쉬었음’은 경제활동을 하기 위한 준비 단계에 있거나 경제활동을 하기 어려운 직간접적인 이유가 있는 이들과는 꽤 거리가 있다고 볼 수 있다.‘쉬었음’ 중에는 구직 활동 자체를 포기한 청년층이 상당수 포함돼 있을 가능성이 높은 데다 이들이 생산인구로서 제 역할을 하지 못하면 사회적 비용이 증가될 수 있어 대책 마련이 시급하다는 의미다.세종 황비웅 기자 stylist@seoul.co.kr▶▶ 재미있는 세상[] []ⓒ 서울신문(), 무단전재 및 재배포금지",,,하는 일 없이 그냥 쉬는 청년들 30만명 넘었다
"청년 실업률이 역대 최고 수준을 기록한 가운데 경제활동도 없이 쉬는 청년이 작년에 30만명을 넘은 것으로 집계됐다.11일 통계청에 따르면 2017년 비경제활동인구 중 경제활동을 하지 않은 이유가 '쉬었음'으로 분류된 청년층(15∼29세)은 30만1000명으로 2016년(27만3000명)보다 2만8000명 늘었다.전체 청년층 중 '쉬었음'으로 분류된 이들이 차지하는 비율도 2016년 2.9％에서 2017년 3.2％로 0.3％ 포인트 높아졌다.비경제활동인구는 취업자도 실업자도 아닌 이들로 일할 수 있는 능력은 있으나 일할 의사가 없거나, 일할 능력이 없어 노동 공급에 기여하지 못하는 이들을 지칭한다.비경제활동 이유는 진학준비, 육아, 가사, 교육기관 통학, 연로, 심신장애, 입대 대기, 쉬었음 등으로 분류된다.진학준비와 육아 등의 경우 직·간접적으로 경제활동에 도움을 주는 이유도 있지만 '쉬었음'은 특별한 이유없이 일을 하지 않은 것으로 볼 수 있다.유럽 등에서는 교육·직업훈련을 받지도 않고 취업도 하지 않는 젊은층을 의미하는 니트(NEET·Not in Education, Employment or Training)족이 사회 문제가 되고 있는데 비경제활동인구 중 '쉬었음'에 해당하는 젊은이들이 이들과 비슷한 문제를 겪는 것으로 해석할 수 있다.다만, 경제협력개발기구(OECD)는 취업이나 정규 기관 통학·교육 훈련 여부 등을 기준으로 니트족을 판단하고 있어, 이런 기준을 적용하면 가사를 이유로 한 비경제활동인구까지 니트족으로 분류될 수 있다는 점 등에서 차이가 있다.'쉬었음' 청년층은 취업이 어려운 환경에서 더욱 증가하고 있다는 분석도 나온다.청년층의 작년 실업률은 9.9％로 2000년 현재 기준으로 측정을 시작한 이후 가장 높았다.박철중 기자 cjpark@",,,"청년 30만명 ""그냥 쉬었다""...최악 취업난에 '니트족' 증가"
"계층 고착화로 청년 니트족(NEET: Not in education, employment or training, 구직활동을 포기한 청년 무직자)이 지난해 30만명을 돌파했다. 사상 최고 수준이다.11일 통계청은 지난해 비경제활동인구 중 경제활동을 하지 않은 이유를 ▲진학준비 ▲육아 ▲가사 ▲교육기관 통학 ▲연로 ▲심신장애 ▲입대 대기 ▲쉬었음으로 나누어 조사한 통계자료를 발표했다.이 중 ‘쉬었음’으로 분류된 청년층(15∼29세)은 30만1000명으로 2016년(27만3000명)보다 2만8000명 늘었다. 전체 청년층에서 ‘쉬었음’이 차지하는 비율도 2016년 2.9％에서 2017년 3.2％로 0.3％ 포인트 높아졌다.청년층의 지난해 실업률은 9.9％로 통계를 작성한 2000년 이후 가장 높았다.이병훈 중앙대 사회학과 교수는 “2025년까지 청년실업이나 청년층 취업 포기 문제가 계속 심각해질 것”으로 전망했다.박민지 기자 pmj@kmib.co.krGoodNews paper ⓒ, 무단전재 및 재배포금지",,,"일하기 포기한 청년 니트족, 역대 최고 수준 30만 돌파"
"[한겨레]최저임금 인상이 청년고용에 미치는 부정적 영향은 없거나 통계적으로 무의미할 정도로 작다는 내용의 국제노동기구(ILO) 분석 보고서가 나왔다. 아울러 고용보호 장치가 잘 갖춰진 나라일수록, 최저임금 인상이 고용에 미치는 악영향은 더욱 줄어드는 것으로 나타났다. 최저임금 인상이 고용률 하락으로 이어질 것이라는 일부 언론의 ‘최저임금 때리기’ 보도가 이어지고 있는 가운데, 국제노동기구의 이번 보고서는 나름의 의미를 갖는 것으로 풀이된다.15일 국제노동기구의 ‘최저임금과 청년고용 분석’ 보고서를 보면, 최저임금 인상과 청년고용의 상관관계는 대단히 미미한 수준이라는 사실이 확인됐다. 이는 국제노동기구가 1990∼2015년 전세계 15개국에서 나온 최저임금과 청년고용의 상관관계에 관한 연구 보고서 328개를 종합해 분석한 결과다.먼저 국제노동기구는 보고서에서 분석 대상 연구 가운데 약 81%(265개)가 ‘최저임금 인상이 청년고용에 부정적 효과를 낸다’는 결론을 낸 것으로 파악하고 있다. 다만 그 가운데 절반인 133개 연구에서 부정적 효과를 입증하려고 제시한 차이값의 통계적 의미가 없고, 나머지 132개 연구에서는 부정적 효과의 수준이 미미한 것으로 나타났다. 또한 전체 연구의 19%(63개)는 최저임금 인상이 되레 청년고용에 긍정적 효과로 작용했다는 결과를 제시했다.각국의 고용보호 수준과 최저임금 제도는 서로 보완관계에 있다는 점도 확인됐다. 보고서는 경제협력개발기구(OECD)에서 5년마다 회원국의 법령을 분석해 산출하는 고용보호지수(EPL)가 높고 노사 단체교섭이 활발한 나라일수록, 최저임금이 청년고용에 끼치는 부정적 영향이 작게 나타났다고 소개했다. 고용보호지수는 각국의 정규고용·임시고용·집단해고 분야의 21개 항목에 대한 제도적 평가를 통해 0∼6점으로 산출된다. 점수가 높을수록 노동자를 더 엄격하게 보호한다는 뜻이다. 2013년 기준 한국의 정규직 고용보호지수는 2.17로 평균(2.29)보다 약간 낮고, 집단해고 보호지수는 1.88로 평균(2.91)보다 상당히 낮은 수준이다. 국제노동기구는 보고서에서 “청년 일자리의 질을 끌어올리려면 고용보호 장치와 최저임금 제도를 상호 보완적으로 활용하는 것이 바람직하다”고 권고했다.김유선 한국노동사회연구원 선임연구위원은 “최저임금 제도는 고용정책이 아니라 임금정책이며 설령 고용에 일부 부정적 효과를 미친다고 하더라도 그건 별도의 고용정책으로 충분히 보완할 수 있는 문제”라고 설명했다.이지혜 기자 godot@hani.co.kr▶ 한겨레 절친이 되어 주세요![ⓒ한겨레신문 : 무단전재 및 재배포 금지]",,, ILO “최저임금 올라도 청년고용 영향 적어” 
"올해 정규직 고용과 연관된 채용연계형 인턴사원 모집이 시작됐다.9일 취업 포털 업체인 사람인과 함께 2018년 취업 문을 여는 채용연계형 인턴채용 정보를 살펴봤다.LG화학은 ‘상반기 산학협력 인턴사원’을 모집한다. 기초소재사업본부, 전지사업본부, 정보전자소재사업본부, 재료사업부문, 생명과학사업본부 등에서 채용을 진행한다. 정규 4년제 대학 2018년 8월 졸업예정자 및 수료자가 지원할 수 있다. 또한 인턴십 종료 후 졸업요건을 갖추어 2018년 7월 1일 입사 가능해야 한다. 영어, 중국어, 일본어 등 외국어 회화능력 우수자는 우대한다. 서류 접수는 1월16일까지로, LG그룹 채용사이트에서 온라인 지원하면 된다.한국도로공사도 상반기 신입(인턴)사원 공개채용을 실시한다. 경영, 법정 등 행정직과 토목, 건축, 전기, 조경, 기계, 설비, 전산, 전자통신 등 기술직을 선발한다. 4개월 내외로 교육 및 현장실습을 거쳐 적정수준 이상인 경우 정규직으로 임용된다. 지원자격에 학력, 연령, 성별 등 제한이 없다. 다만 토익, 텝스, 토플, 오픽, 토익스피킹 중 택 1 필수 어학기준을 충족해야 한다. 기술직의 경우 선발 분야 기사 이상 자격증을 소지해야 한다. 지원서는 이달 12일까지 한국도로공사 홈페이지를 통해 접수하면 된다.하나투어에선 대졸 공채연계형 인턴사원을 뽑는다. 근무기간은 2월~4월로 총 3개월이며, 현장근무와 과제수행, 면접 등의 평가를 통해 공채정규직 전환 여부가 결정된다. 모집분야는 영업과 상품개발기획이다. 관광통역안내사 및 여행업관련 자격증 소지자, 제2외국어능통자, 공모전 및 각종대회 수상 경력자 등을 우대한다. 서류접수 기간은 1월 12일까지다. 하나투어 홈페이지를 통해 지원해야 한다.세아베스틸 역시 채용 전환형 인턴사원 채용을 진행한다. 모집부문은 기획, 전략, 해외영업, 구매 등이며, 부문 별로 전공 우대사항이 있다. 근무기간은 2~4월이며, 3개월 인턴 근무 평가에 따라 정규직 전환 가능하다. 4년제 정규대학 기졸업자 및 2018년 2월 졸업예정자를 대상으로 한다. 서류전형, 인적성검사, 1,2차면접, 채용검진을 거친다. 1월 14일까지 세아베스틸 채용 홈페이지를 통해 지원할 수 있다.조아제약는 공개채용으로 정규직 전환형 인턴을 모집한다. 모집부문은 위수탁사업팀, 학술팀, 신제품연구팀, 공무팀, 약국영업부 등이다. 서류전형, 인적성검사, 1차면접, 최종면접의 전형절차를 거치며, 2개월 간 정규직 전환 평가 후 정규직으로 전환된다. 선발된 인원은 서울본사를 비롯해, 수도권, 대전, 호남, 경북, 경남 등에서 근무하게 된다. 서류접수는 이달 17일까지 사람인 즉시지원을 통해 할 수 있다.사람인 관계자는 “정규직 전환에 성공하기 위해서는 기본에 충실한 것이 가장 중요하다.”며 “인턴은 함께 근무하기에 적합한 인재인지, 해당 업무를 잘 감당할 가능성이 있는지를 검증하기 위한 과정인 만큼 성실하고 적극적인 자세가 중요하고 아무리 작은 업무라도 맡겨진 일을 정성을 다해 책임감 있게 처리한다면 좋은 평가를 받을 수 있다”고 조언했다. 허재경 기자 ricky@hankookilbo.com[ⓒ 한국일보(), 무단 전재 및 재배포 금지]",,,무술년 채용연계형 인턴채용 ‘스타트’
"[ 전예진 기자  ]조아제약(대표 조성환, 조성배)이 2018년 정규직 전환형 인턴사원을 공개 모집한다.이번 정기공채는 신제품연구 학술 위수탁사업 공무 약국영업부 등 총 5개 부문이다. 이달 17일까지 사람인, 잡코리아 등 온라인 채용사이트를 통해 접수 가능하다.채용절차는 서류전형을 거쳐 인적성 검사, 면접전형 순으로 진행된다. 각 분야별 최종 선발된 인원은 서울본사를 비롯해 수도권, 대전, 전남, 전북, 경남, 경북 등에서 OJT 교육에 참여한다. 이들은 2개월 간 정규직 전환 평가 후 정규직으로 전환된다.올해로 창립 30주년을 맞이한 조아제약은 조아바이톤, 헤포스, 가레오 등 일반의약품과 어린이 영양음료 잘크톤 등을 생산, 판매하고 있으며 약국 프랜차이즈인 메디팜을 자회사로 두고 있다.조아제약 관계자는 “적극적이고 진취적인 인재 확보를 통해 2018년 조아제약 조직 활성화와 기업 경쟁력 강화에 기여할 수 있을 것으로 기대한다”고 말했다.채용과 관련한 기타 자세한 사항은 조아제약 인사총무팀(02-6670-9200)으로 문의하거나 채용공고를 참조하면 된다.전예진 기자 ace@hankyung.com[] [] []ⓒ 한국경제 &, 무단전재 및 재배포 금지",,,"조아제약, 정규직 전환형 인턴공채"
"경제활동을 위한 준비를 하지 않으면서 비경제활동인구로 분류된 청년층이 지난해 30만명을 돌파했다.11일 통계청에 따르면 2017년 비경제활동인구 중 경제활동을 하지 않은 이유가 '쉬었음'으로 분류된 청년층(15∼29세)은 30만1000명으로 2016년(27만3000명)보다 2만8000명 증가한 것으로 나타났다.비경제활동인구는 일할 능력이 있지만 일할 의사가 없는 사람이거나 일할 능력이 없는 사람을 말한다. 비경제활동 사유는 진학준비, 육아, 가사, 교육기관 통학, 연로, 심신장애, 입대 대기, 쉬었음 등으로 분류된다.특히 '쉬었음'은 경제활동을 하기 위한 준비를 하는 등 직·간접적으로 경제활동에 도움을 주는 사유와 거리가 멀다.유럽 등에서도 교육이나 직업훈련을 받지 않은 채 취업도 하지 않는 젊은 층인 니트(NEET·Not in Education, Employment or Training)족이 사회 문제가 되고 있다. 우리 통계의 '쉬었음'과 비슷하다.다만 경제협력개발기구(OECD)는 취업이나 정규 기관 통학·교육 훈련 여부 등을 기준으로 니트족을 판단하므로 이런 기준을 적용하면 가사를 이유로 한 비경제활동인구까지 니트족으로 분류될 수 있다는 점 등에서 차이가 있다.[디지털뉴스국][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]",,,구직 준비 안 하고 그냥 쉰 청년 30만명 돌파
"(세종=뉴스1) 이훈철 기자 = 지난해 원하는 직장을 얻지 못해 취업을 포기한 '실망실업자'(구직단념자)가 통계집계 이래 사상 최대 규모로 늘어난 것으로 나타났다.심각한 구직난으로 실업자가 2년 연속 100만명을 넘어서는 상황에 청년실업률마저 최악으로 치달으면서 취직 대신 취업준비를 선택하는 청년 구직자가 크게 늘어난 것이 원인으로 꼽힌다.17일 통계청에 따르면 지난해 비경제활동인구 중 실망실업자는 48만3000명으로 1년 전보다 3만6000명(8.0%) 증가했다.실망실업자가 이토록 늘어난 것은 연간 통계집계가 시작된 2000년 이후 처음이다. 외환위기와 글로벌 금융위기를 겪은 뒤 실망실업자가 크게 늘어났던 지난 2000년(16만5000명)과 2010년(22만명)을 뛰어넘는 규모다.통계상 취업희망과 취업가능성의 개념이 확대되면서 2014년부터 실망실업자 규모가 30만명대로 크게 늘어난 것을 감안하더라도 역대 최대 규모다.성별로 보면 남자가 28만73000명으로 여자 19만5900명보다 9만1400명 더 많았으며, 남자의 경우 1년 전보다 실망실업자가 9.6%(2만5200명)나 증가한 것으로 조사됐다.실망실업자는 원하는 직장을 얻지 못해 구직포기상태로 남아 있다는 점에서 고용지표에서 취업자나 실업자가 아닌 비경제활동인구로 분류되며, 주로 경기악화나 고용시장 위축 시기에 늘어나는 특징을 보인다.실업자가 102만8000명을 기록하고, 청년실업률이 9.9%로 통계 집계 이후 최고치로 치솟을 정도로 고용시장에 한파가 몰아쳤던 지난해 실망실업자가 크게 늘어난 것도 이 때문이다.특히 취업을 포기한 청년 구직자가 취업준비상태로 옮겨가면서 실망실업자가 크게 늘어난 것으로 분석됐다. 지난해 비경제활동인구 중 취업준비인구는 67만6000명으로 전년대비 4만8000명(7.6%) 증가했다. 2003년 연간 통계집계 이후 최대 규모다.빈현준 통계청 고용통계과장은 ""최근 청년 고용상황이 안좋다보니 취업이 안되고 그로 인해 청년 취업준비자가 늘면서 실망실업자도 크게 증가했다""며 ""청년들이 취업을 원하는데 원하는 직장이 없어서 취직을 못한 것이기 때문에 고용지표상 좋은 시그널은 아니라고 볼 수 있다""고 말했다.boazhoon@",,,"""원서 넣으면 뭐하나"" 실망실업자 48만 '사상 최대'"
"대학가에 취업 훈풍이 불고 있다.정부가 공공부문 채용 규모를 확대하고 대기업이 신규 채용을 늘리고 있기 때문이다.공공기관은 올해 역대 최대 규모인 약 2만3,000명을 정규직으로 채용할 계획이다. 특히 채용 인원의 절반 이상인 53%를 상반기에 채용할 예정이어서 수년간 취업난을 겪고 있는 대학가가 크게 반기고 있다.대기업도 정부와 보조를 맞춰 채용 인원을 확대하고 있다. LG는 지난해보다 10% 증가한 올해 1만명 신규 채용 계획을 밝혔고 삼성도 대졸 신입사원 공채로 올해 9,000명 정도를 예정했다. 롯데그룹도 1만3,300여명, 신세계그룹도 1만명 이상의 신규 채용을 진행할 계획이다. 공공부문과 대기업을 포함한 올해 총 채용 규모는 6만5,000명이 넘는다.한 구인·구직 업체가 국내 658개 기업을 대상으로 `2018년 신입 채용 계획'에 대해 조사한 결과에 따르면 72%가 `신입사원 채용 계획이 있다'고 답했다.하지만 일부에서는 정부와 기업의 이같은 채용 계획에도 불구하고 취업난 해결에 큰 도움이 되지 못할 것 이라는 우려도 나오고 있다.도내 한 대학 취업담당자는 “새 정부에서 일자리를 주요 과제로 언급하면서 기업들도 채용 확대 계획을 속속 발표하고 있지만 정규직 전환 등 채용방식이 바뀌어 취준생들의 불안감이 커지고 있다”고 말했다.이어 “실제 정확한 채용 인원을 파악할 방법이 없어 좀 더 지켜봐야 할 것”이라고 덧붙였다.장현정기자",,,최악 취업난에 정부·대기업 채용 확대 초미관심
