사업자번호,업체명,대표자명,주소,상세주소,대표전화,팩스,홈페이지
101-81-45895,(주)동성나이키,김준홍,"서울특별시 구로구 구로중앙로 134, 4층(구로동, 리치몰)",,02-734-2125,02-734-2135,http://www.dsnaiki.com
101-86-44305,교세라도큐먼트솔루션스코리아(주),이나 노리히코,"서울특별시 중구 퇴계로 18, 10층(남대문로 5가, 대우재단빌딩)",,070-8676-1375,02-747-0084,www.kyoceradocumentsolutions.co.kr
101-86-45056,(주)로엔그린,김수창,경기도 김포시 하성면 애기봉로 750,,070-7460-2020,070-7469-2030,www.login1.co.kr
101-86-49595,SK루브리컨츠(주),차규탁,서울특별시 종로구 종로 26 (서린동),,02-2121-6586,02-2121-6657,www.sklubricants.com
101-86-58094,대성히트에너시스(주),유지석,충청북도 음성군 삼성면 상곡로 55-72,,043-838-5102,043-838-5108,http://
101-86-89506,(주)라인안전산업,정병교,경기도 광주시 초월읍 용수길 121-32,,031-763-4783,031-764-4782,http://fire007.co.kr
102-81-01153,대림통상(주),"이지용, 고은희",서울특별시 서대문구 연희로 142 (연희동),,02-730-9811,02-355-1054,
102-81-31147,금호석유화학(주),"박찬구, 문동준","서울특별시 중구 청계천로 100 (수표동,시그니쳐타워스서울)",,02-6961-1114,041-330-8699,www.kkpc.com
102-81-45511,(주)에스지텍,김선교,"경기도 안성시 서운면 송죽길 36, 가동",,070-4699-1235,050-5901-1235,http://
102-85-00695,대림비앤코(주),강태식,서울특별시 강남구 학동로 105 (논현동),,02-3429-1451,02-3141-9323,
104-06-63672,서흥디자인팩,이진우,서울특별시 중구 을지로35길 33,,02-1644-4157,02-2269-4148,http://www.소행섬.com
104-81-00766,삼덕상공(주),김권기,서울특별시 중구 퇴계로12길 49 (회현동1가),,02-775-3811,02-774-5588,sd1948.com
104-81-01300,연합화학공업(주),장홍엽,"인천광역시 남동구 은봉로75번길 67 (논현동, 남동공단 18B/6L)",,032-814-6725,032-814-0750,
104-81-20501,한국신에츠실리콘(주),후쿠다 마사키,서울특별시 서초구 서초대로 411,"(서초동,지티타워15층)",02-590-2500,02-590-2501,http://www.shinetsu.net
104-81-24846,(주)유니드,정의승,"서울특별시 중구 을지로5길 19 (수하동, 페럼타워17층)",,02-3709-9500,02-774-7591,http://www.unid.co.kr/
104-81-24962,(주)유니온,이우선,서울특별시 중구 소공로 94 (소공동),,02-3455-8738,02-757-3807,http://
104-81-27386,(주)조선호텔,이용호,서울특별시 중구 소공로 106 (소공동),,02-317-0389,02-317-0295,
104-81-40865,다이아몬드전자(주),이건,"서울특별시 금천구 가마산로 96, 5층 (가산동,대륭테크노타워8차)",,02-773-2855,02-752-2391,www.dionix.co.kr
104-81-41772,(주)래딕스글로비즈,심양래,"서울특별시 마포구 마포대로 86 (도화동, 창강빌딩8층)",,02-703-0399,02-703-0327,http://www.radixg.com/
104-81-62011,(주)대화라벨앤택스,임창엽,서울특별시 성동구 성수이로8길 7 (성수동2가),,070-4048-4140,02-6455-0891,http://www.daehwalabel.co.kr
104-86-55679,(주)현대엘앤씨,유정석,"서울특별시 강동구 천호대로 1077, 8,9,13층(천호동, 이스트센트럴타워)",,044-279-8126,044-279-8289,
104-86-58322,한솔제지(주),한철규,"서울특별시 중구 을지로 100, 24층(을지로2가,24)",,02-3287-6247,02-6031-0907,www.hansolpaper.co.kr
105-81-47352,(주)엑사이엔씨,"구자극,원종일","서울특별시 구로구 디지털로 288(구로동, 대륭포스트타워1차 15층)",,02-3289-5200,02-3289-5201,http://www.exaencc.com
105-81-50575,(주)공간세라믹,조백일,경기도 안성시 미양면 미양로 156,,031-671-1661,031-671-1664,http://www.ggceramic.com
105-81-68643,(주)에프씨코리아랜드,성세경,"서울특별시 영등포구 양산로 57-5 1304호(양평동3가, 이노플렉스)",,02-3141-1174,02-3141-1175,www.fc4u.co.kr
106-81-17526,(주)대창그랜드,정봉태,경기도 안양시 동안구 시민대로109번길 24-2,(호계동),031-453-0567,031-453-0573,
106-81-23348,(주)우진기전,장창익,경기도 평택시 청북읍 현곡길 85-8,,031-686-0517,031-686-0560,http://
